Frame #,Timestamp,Object ID,Object class,BBox xmin,BBox ymin,BBox xmax,BBox ymax,vel_x,vel_y,Generation method,GPS lat of bbox bottom center,GPS long of bbox bottom center
15,1756875165.23,0,midsize,3695.599853515625,987.189697265625,3936.7392578125,1130.244873046875,74.4640121459961,-2.1468958854675293,Localizer,36.00285201238757,-86.60784326149299
15,1756875165.23,1,pickup,1843.2186279296875,951.1429443359375,2362.97705078125,1160.0736083984375,90.80557250976562,-6.3916521072387695,Localizer,36.00300809158192,-86.60799742257718
16,1756875165.26,0,midsize,3801.80908203125,981.7291870117188,3996.91943359375,1121.8385009765625,91.65156555175781,-2.5125677585601807,Localizer,36.002844864594756,-86.60783476647521
16,1756875165.26,1,pickup,1933.2071533203125,942.9246215820312,2457.2451171875,1156.910400390625,90.8289566040039,-6.759955883026123,Localizer,36.00300017671831,-86.60798842135665
17,1756875165.29,0,midsize,3889.31005859375,978.2025146484375,4058.302001953125,1118.733642578125,89.58181762695312,-2.4689886569976807,Localizer,36.002838276640624,-86.60782755951483
17,1756875165.29,1,pickup,2023.1368408203125,939.378662109375,2546.49951171875,1153.10693359375,89.67615509033203,-5.804252624511719,Localizer,36.00299232449444,-86.6079798893266
18,1756875165.33,0,midsize,3978.891845703125,975.7335205078125,4118.8505859375,1111.3173828125,89.58181762695312,-2.4689886569976807,Detector,36.00283172773515,-86.60782005995198
18,1756875165.33,1,pickup,2112.79541015625,933.7327880859375,2630.771240234375,1147.4708251953125,88.37416076660156,-5.685208320617676,Detector,36.0029848550316,-86.60797133727597
19,1756875165.36,0,midsize,4068.079345703125,975.4014892578125,4176.45556640625,1114.659423828125,88.98485565185547,-1.37436842918396,Localizer,36.00282492421427,-86.60781361831417
19,1756875165.36,1,pickup,2199.325927734375,925.0950317382812,2719.851806640625,1143.88525390625,87.71318054199219,-6.4167256355285645,Localizer,36.00297733487085,-86.60796263775188
20,1756875165.39,0,midsize,4151.84716796875,975.703125,4238.16357421875,1111.35205078125,87.01222229003906,-1.0607550144195557,Localizer,36.002818365621955,-86.60780680796668
20,1756875165.39,1,pickup,2286.440185546875,919.06640625,2806.3603515625,1138.6781005859375,87.12911987304688,-6.331598281860352,Localizer,36.00296985688267,-86.60795407872483
21,1756875165.43,0,midsize,4245.14404296875,979.8844604492188,4301.93798828125,1105.5023193359375,90.96690368652344,0.11411988735198975,Localizer,36.00281123260487,-86.60779956379723
21,1756875165.43,1,pickup,2377.768310546875,913.1849975585938,2899.885986328125,1133.0640869140625,90.40355682373047,-6.322894096374512,Localizer,36.002961866493436,-86.60794498343353
22,1756875165.46,0,midsize,4338.4892578125,995.0055541992188,4372.029296875,1104.74072265625,93.59945678710938,3.917130470275879,Localizer,36.00280332559257,-86.60779318151481
22,1756875165.46,1,pickup,2468.4951171875,908.044677734375,2991.149658203125,1127.2303466796875,90.62330627441406,-6.076207637786865,Localizer,36.00295397613642,-86.6079360389075
23,1756875165.49,0,midsize,4431.18603515625,1007.1260375976562,4447.5615234375,1099.084228515625,95.0443344116211,5.461181640625,Localizer,36.00279544143549,-86.6077860188146
23,1756875165.49,1,pickup,2559.2861328125,903.4266357421875,3083.470458984375,1120.9656982421875,90.95132446289062,-5.804980754852295,Localizer,36.00294602052666,-86.60792703746944
24,1756875165.53,1,pickup,2662.41650390625,899.37890625,3177.89794921875,1113.041015625,97.37992858886719,-5.311957359313965,Detector,36.00293743375482,-86.60791729708751
25,1756875165.56,1,pickup,2741.685302734375,890.229248046875,3273.187255859375,1108.3271484375,88.61921691894531,-6.594144344329834,Localizer,36.00292995473274,-86.60790846014756
26,1756875165.59,1,pickup,2827.923828125,882.2122192382812,3363.559326171875,1102.998046875,87.177001953125,-6.957758903503418,Localizer,36.00292235108527,-86.6078995503242
27,1756875165.63,1,pickup,2912.044677734375,873.440185546875,3454.2060546875,1098.681884765625,85.67156982421875,-7.402431011199951,Localizer,36.00291481079829,-86.60789072769556
28,1756875165.66,1,pickup,2999.171875,867.6112060546875,3543.60693359375,1094.728271484375,86.2211685180664,-6.870804309844971,Localizer,36.00290706210192,-86.60788203604086
29,1756875165.69,1,pickup,3086.73681640625,862.8056640625,3629.0595703125,1090.8419189453125,85.96165466308594,-6.150905609130859,Localizer,36.0028994271018,-86.60787356815793
30,1756875165.73,1,pickup,3182.767578125,857.8023681640625,3724.93603515625,1084.0517578125,92.3685531616211,-5.9608354568481445,Detector,36.002891022456005,-86.60786401628881
31,1756875165.76,1,pickup,3271.217529296875,852.615234375,3820.55419921875,1081.7269287109375,90.8099365234375,-5.7071638107299805,Localizer,36.002882820564544,-86.60785510534598
32,1756875165.79,1,pickup,3354.983642578125,849.4024047851562,3894.552978515625,1078.6832275390625,83.51587677001953,-4.699594020843506,Localizer,36.0028757778821,-86.6078474731888
33,1756875165.83,1,pickup,3429.6884765625,847.03662109375,3932.01220703125,1070.92822265625,70.41558837890625,-3.515165328979492,Localizer,36.002870956732515,-86.60784164533855
34,1756875165.86,1,pickup,3507.09423828125,848.2083129882812,3940.094970703125,1057.9423828125,63.82408905029297,-1.494248867034912,Localizer,36.002867414819214,-86.6078369103048
35,1756875165.9,1,pickup,3582.104248046875,855.4486694335938,3926.474365234375,1045.474853515625,59.52029800415039,1.8227903842926025,Localizer,36.0028647605708,-86.60783373623538
36,1756875165.93,1,pickup,3641.62451171875,857.271484375,3941.01416015625,1036.072265625,59.52029800415039,1.8227903842926025,Detector,36.002861598392684,-86.60782981427363
37,1756875165.96,1,pickup,3703.714599609375,849.3364868164062,3938.03955078125,1029.284423828125,58.38384246826172,0.11467576026916504,Localizer,36.00285935788689,-86.60782606549095
38,1756875166.0,1,pickup,3759.397705078125,850.2474975585938,3928.505859375,1019.3930053710938,53.405338287353516,0.5997106432914734,Localizer,36.002857523810476,-86.60782331393857
39,1756875166.03,1,pickup,3807.490966796875,857.5636596679688,3927.68408203125,1008.2976684570312,50.83452606201172,2.0115578174591064,Localizer,36.00285546570063,-86.60782087951326
40,1756875166.06,1,pickup,3866.506591796875,863.97900390625,3928.599365234375,1000.10888671875,55.28490447998047,3.3070502281188965,Localizer,36.00285275657977,-86.60781800735279
41,1756875166.1,1,pickup,3909.041015625,875.312255859375,3927.960693359375,987.6495361328125,48.929161071777344,4.790078639984131,Localizer,36.00285085858486,-86.60781600719271
42,1756875166.13,2,midsize,3.493988037109375,550.4429321289062,217.3218536376953,703.6388549804688,0.0,0.0,Detector,36.00323135551926,-86.60812875261881
43,1756875166.16,2,midsize,-8.203777313232422,543.6956787109375,260.97259521484375,695.2836303710938,-11.697750091552734,-6.7472028732299805,Localizer,36.003230643977126,-86.60812638799378
44,1756875166.2,2,midsize,11.045585632324219,540.7202758789062,375.0101013183594,692.4055786132812,10.962438583374023,-4.886003017425537,Localizer,36.00322468109899,-86.60811982141276
45,1756875166.23,2,midsize,89.16291809082031,530.1932983398438,499.2346496582031,692.4673461914062,50.87842559814453,-6.765676975250244,Localizer,36.00321570124922,-86.6081097498116
45,1756875166.23,3,midsize,6,806,456,992,92.44281768798828,-13.265595436096191,Manual Annotation
46,1756875166.26,2,midsize,186.2174072265625,527.044921875,623.7000732421875,689.771484375,74.84831237792969,-5.45431661605835,Localizer,36.00320556886125,-86.60809904080361
46,,3,midsize,103.77740478515626,800.8718872070312,545.8572387695312,985.3527628580729,61.628545125325516,-8.843730290730793,Interpolation
47,1756875166.3,2,midsize,281.2925720214844,523.7245483398438,733.4409790039062,689.8767700195312,80.4656753540039,-4.197920799255371,Localizer,36.003196080976934,-86.60808926123221
47,,3,midsize,201.55480957031253,795.7437744140625,635.7144775390625,978.7055257161459,30.814272562662758,-4.4218651453653965,Interpolation
48,1756875166.33,2,midsize,380.0899658203125,521.2108154296875,824.8681640625,683.5054931640625,82.52471923828125,-3.01503849029541,Detector,36.003187560032906,-86.60807981665904
48,1756875166.33,3,midsize,299.33221435546875,790.6156616210938,725.5717163085938,972.0582885742188,0.0,0.0,Detector,36.00316852303392,-86.60812077913319
49,1756875166.36,2,midsize,482.58416748046875,518.5565185546875,920.4981689453125,676.8157348632812,88.66293334960938,-2.1983437538146973,Localizer,36.00317867880609,-86.60806996229257
49,1756875166.36,3,midsize,391.7752990722656,777.3500366210938,819.5924072265625,970.2584838867188,92.44281768798828,-13.265595436096191,Localizer,36.003160681003195,-86.60811142350683
50,1756875166.4,2,midsize,587.3320922851562,515.184326171875,1015.3665771484375,669.7899780273438,93.64591217041016,-1.7715113162994385,Localizer,36.00316976797761,-86.6080599606732
50,1756875166.4,3,midsize,491.4275817871094,766.103759765625,914.1821899414062,967.353271484375,96.62726593017578,-12.247878074645996,Localizer,36.00315242412008,-86.60810174905481
51,1756875166.43,2,midsize,684.886962890625,512.3848876953125,1104.1346435546875,663.5386352539062,92.24604034423828,-1.3934777975082397,Localizer,36.00316140738296,-86.60805065326382
51,1756875166.43,3,midsize,586.7845458984375,755.205322265625,1007.60205078125,959.908447265625,95.78765869140625,-11.839794158935547,Localizer,36.003144601653005,-86.60809206368461
52,1756875166.46,2,midsize,787.8920288085938,509.2606506347656,1194.0042724609375,656.3748168945312,95.75840759277344,-1.2790987491607666,Localizer,36.00315278681649,-86.60804094922945
52,1756875166.46,3,midsize,685.6367797851562,750.1324462890625,1103.71533203125,952.805419921875,97.7049331665039,-9.992920875549316,Localizer,36.0031361900659,-86.60808243750041
53,1756875166.5,2,midsize,888.9993896484375,505.7665100097656,1284.9967041015625,651.8685302734375,97.19962310791016,-1.290637493133545,Localizer,36.00314408082559,-86.60803141259417
53,1756875166.5,3,midsize,786.278564453125,744.0140380859375,1201.3751220703125,945.90673828125,99.55219268798828,-9.076801300048828,Localizer,36.00312765078569,-86.60807259418651
54,1756875166.53,2,midsize,986.0775146484375,503.00115966796875,1368.267822265625,647.4496459960938,94.79647827148438,-1.1473782062530518,Detector,36.003135882823614,-86.608022470308
54,1756875166.53,3,midsize,882.8665771484375,749.0551147460938,1296.7667236328125,942.926513671875,97.79997253417969,-5.456911087036133,Detector,36.003118699120385,-86.6080639263365
55,1756875166.56,2,midsize,1079.6470947265625,497.2452392578125,1462.905029296875,646.7467041015625,95.1150894165039,-2.025649309158325,Localizer,36.003127269391165,-86.60801319506461
55,1756875166.56,3,midsize,977.8992309570312,743.4451904296875,1395.608154296875,939.458740234375,97.14247131347656,-5.62624979019165,Localizer,36.003110164277636,-86.60805450016234
56,1756875166.6,2,midsize,1178.0081787109375,491.1603088378906,1557.0479736328125,642.983642578125,97.09760284423828,-2.9015395641326904,Localizer,36.00311860330134,-86.6080034898162
56,1756875166.6,3,midsize,1074.626708984375,736.134033203125,1491.3944091796875,933.24658203125,96.82772827148438,-6.230854034423828,Localizer,36.00310188209512,-86.60804485498575
57,1756875166.63,2,midsize,1272.517578125,483.3760070800781,1653.3577880859375,640.7123413085938,96.31509399414062,-4.039585113525391,Localizer,36.00311001553294,-86.60799383783575
57,1756875166.63,3,midsize,1171.887939453125,729.7037353515625,1590.9459228515625,927.36572265625,97.73836517333984,-6.47259521484375,Localizer,36.003093333344964,-86.60803507087964
58,1756875166.66,2,midsize,1364.9678955078125,476.5238037109375,1748.8680419921875,638.42822265625,94.61184692382812,-4.690911769866943,Localizer,36.00310150968938,-86.60798436826761
58,1756875166.66,3,midsize,1269.125244140625,724.103759765625,1687.2637939453125,920.125,97.24815368652344,-6.413095474243164,Localizer,36.003084945818394,-86.60802538883058
59,1756875166.7,2,midsize,1456.391357421875,470.2989196777344,1840.7418212890625,635.9532470703125,92.57891845703125,-4.979220867156982,Localizer,36.00309319512565,-86.60797513622951
59,1756875166.7,3,midsize,1360.564208984375,722.7890625,1775.5850830078125,915.3081665039062,92.77859497070312,-5.047273635864258,Localizer,36.00307688995322,-86.60801674401192
60,1756875166.73,2,midsize,1557.3365478515625,467.52862548828125,1927.2767333984375,630.9531860351562,95.4531478881836,-4.1678242683410645,Detector,36.003084629359805,-86.60796575728979
60,1756875166.73,3,midsize,1466.498291015625,724.086669921875,1873.1748046875,913.7783203125,100.24969482421875,-3.0781023502349854,Detector,36.00306746898384,-86.60800736812789
60,1756875166.73,6,midsize,10,1440,394,1612,87.41925048828125,1.0090644359588623,Manual Annotation
61,1756875166.76,2,midsize,1650.3265380859375,462.0550231933594,2021.855712890625,627.8247680664062,94.89407348632812,-4.552726745605469,Localizer,36.00307608744558,-86.6079563080859
61,1756875166.76,3,midsize,1553.313720703125,720.4244995117188,1961.0823974609375,910.4494018554688,92.00304412841797,-3.307422161102295,Localizer,36.003059670889506,-86.60799888743594
61,,6,midsize,112.66666666666669,1436.0,495.3333333333333,1606.0,87.41925048828125,1.0090644359588623,Interpolation
62,1756875166.8,2,midsize,1745.652587890625,456.855712890625,2119.50732421875,625.4080200195312,96.10759735107422,-4.726372241973877,Localizer,36.00306723357108,-86.6079466581432
62,1756875166.8,3,midsize,1647.743896484375,713.3399658203125,2057.649169921875,904.3518676757812,94.47606658935547,-4.539440155029297,Localizer,36.003051374212156,-86.60798925460563
62,,6,midsize,215.33333333333337,1432.0,596.6666666666667,1600.0,87.41925048828125,1.0090644359588623,Interpolation
63,1756875166.83,2,midsize,1839.0921630859375,452.40008544921875,2215.9345703125,622.3085327148438,95.10108947753906,-4.725759983062744,Localizer,36.00305851571838,-86.60793714927165
63,1756875166.83,3,midsize,1742.1083984375,705.5438842773438,2156.327880859375,897.8043212890625,95.42620086669922,-5.6226959228515625,Localizer,36.00304301828011,-86.60797943728778
63,1756875166.83,6,midsize,318,1428,698,1594,87.41925048828125,1.0090644359588623,Manual Annotation
64,1756875166.86,2,midsize,1928.985107421875,446.9643859863281,2310.696533203125,618.7075805664062,92.52324676513672,-5.037986755371094,Localizer,36.00305010217172,-86.60792777569432
64,1756875166.86,3,midsize,1831.54248046875,701.0182495117188,2248.32177734375,892.7665405273438,91.75301361083984,-5.383557319641113,Localizer,36.00303498762107,-86.60797044880705
64,,6,midsize,423.61094156901044,1418.2682291666667,797.2346394856771,1587.9065755208333,58.27950032552083,0.6727096239725748,Interpolation
65,1756875166.9,2,midsize,2021.4879150390625,442.6446838378906,2408.322265625,615.5881958007812,93.2359390258789,-4.935279846191406,Localizer,36.00304134748144,-86.60791824125701
65,1756875166.9,3,midsize,1925.6981201171875,696.5953369140625,2337.603759765625,887.80810546875,92.19608306884766,-5.005196571350098,Localizer,36.0030268459389,-86.60796136823447
65,,6,midsize,529.2218831380209,1408.5364583333335,896.4692789713542,1581.8131510416667,29.139750162760414,0.3363548119862874,Interpolation
66,1756875166.93,2,midsize,2122.369873046875,438.7845458984375,2494.956298828125,605.37890625,95.24713134765625,-4.7422709465026855,Detector,36.003032993493576,-86.60790835875414
66,1756875166.93,3,midsize,2026.227294921875,696.4193115234375,2432.734619140625,885.7794189453125,96.8609390258789,-3.485030174255371,Detector,36.00301782972634,-86.60795218297481
66,1756875166.93,6,midsize,634.8328247070312,1398.8046875,995.7039184570312,1575.7197265625,0.0,0.0,Detector,36.0030873113742,-86.60815964562632
67,1756875166.96,2,midsize,2214.865234375,434.33551025390625,2588.927734375,602.6455078125,94.11105346679688,-4.585783958435059,Localizer,36.00302438160465,-86.60789899264019
67,1756875166.96,3,midsize,2124.5234375,688.2234497070312,2531.25732421875,880.7219848632812,98.25509643554688,-4.791214942932129,Localizer,36.003009204636065,-86.60794220792255
67,1756875166.96,6,midsize,722.2523193359375,1399.813720703125,1096.2919921875,1565.255859375,87.41925048828125,1.0090644359588623,Localizer,36.00307953662656,-86.60815106668484
68,1756875167.0,2,midsize,2307.197265625,429.1788330078125,2683.367431640625,598.4839477539062,93.56204223632812,-4.785601615905762,Localizer,36.00301583630054,-86.6078894512422
68,1756875167.0,3,midsize,2214.379150390625,680.7156372070312,2625.021484375,875.4783325195312,93.58772277832031,-5.633251190185547,Localizer,36.00300116092392,-86.60793286134711
68,1756875167.0,6,midsize,825.2299194335938,1397.8521728515625,1200.1185302734375,1556.3360595703125,96.58899688720703,-0.48080766201019287,Localizer,36.00307099387313,-86.608141593221
69,1756875167.03,2,midsize,2398.456787109375,424.71624755859375,2774.013427734375,594.4682006835938,91.93787384033203,-4.6730780601501465,Localizer,36.00300747832098,-86.60788018940549
69,1756875167.03,3,midsize,2303.041015625,676.1213989257812,2715.179443359375,870.031005859375,90.51727294921875,-5.443566799163818,Localizer,36.002993220292005,-86.60792390483412
69,1756875167.03,6,midsize,931.237548828125,1393.57421875,1307.33935546875,1550.4503173828125,101.92144775390625,-1.748687982559204,Localizer,36.003062131162174,-86.60813186850474
70,1756875167.06,2,midsize,2492.216552734375,419.3720703125,2868.798095703125,590.2017211914062,93.44343566894531,-4.878570079803467,Localizer,36.00299883909805,-86.60787051910256
70,1756875167.06,3,midsize,2392.116455078125,671.62353515625,2805.441162109375,864.7913818359375,89.67327117919922,-5.250288486480713,Localizer,36.00298523326573,-86.60791493345256
70,1756875167.06,6,midsize,1033.0152587890625,1391.05615234375,1409.302734375,1545.4122314453125,100.87152099609375,-1.8329977989196777,Localizer,36.0030535657854,-86.60812268059115
71,1756875167.1,2,midsize,2587.3974609375,414.08062744140625,2966.480712890625,586.0285034179688,95.10265350341797,-5.032569408416748,Localizer,36.00298997542692,-86.60786064084004
71,1756875167.1,3,midsize,2491.111572265625,664.8819580078125,2904.424072265625,859.7759399414062,95.83280181884766,-5.622631072998047,Localizer,36.00297644390554,-86.60790494770411
71,1756875167.1,6,midsize,1134.7657470703125,1384.3743896484375,1512.31591796875,1537.52734375,100.99321746826172,-3.0721774101257324,Localizer,36.00304522612605,-86.60811306011233
72,1756875167.13,2,midsize,2688.665771484375,410.5865478515625,3052.8740234375,575.7069702148438,96.3155288696289,-4.678069114685059,Detector,36.002981526737976,-86.60785068109293
72,1756875167.13,3,midsize,2592.729248046875,662.6121826171875,2998.598876953125,857.052734375,98.165771484375,-4.432009696960449,Detector,36.002967481149156,-86.60789551380347
72,1756875167.13,6,midsize,1243.22705078125,1375.6627197265625,1607.3004150390625,1534.04345703125,102.60868072509766,-3.9150376319885254,Detector,36.003036836630464,-86.60810361003264
73,1756875167.16,2,midsize,2779.5107421875,405.0933837890625,3145.587646484375,571.6107177734375,93.69572448730469,-4.878767013549805,Localizer,36.00297309102926,-86.60784121072902
73,1756875167.16,3,midsize,2678.83251953125,654.6148071289062,3095.14111328125,851.7111206054688,92.39273834228516,-5.67237663269043,Localizer,36.00295944724634,-86.60788610536777
73,1756875167.16,6,midsize,1345.2913818359375,1370.4168701171875,1707.7763671875,1526.240966796875,102.17102813720703,-4.257956027984619,Localizer,36.00302850792142,-86.60809413857521
74,1756875167.2,2,midsize,2870.563720703125,399.1246643066406,3237.7939453125,567.3837890625,92.53125,-5.147254467010498,Localizer,36.00296468302621,-86.60783169770214
74,1756875167.2,3,midsize,2773.5068359375,649.0044555664062,3184.575927734375,845.4092407226562,92.59043884277344,-5.606422424316406,Localizer,36.00295127738295,-86.60787671312362
74,1756875167.2,6,midsize,1446.7642822265625,1365.2320556640625,1807.8958740234375,1518.7601318359375,101.68450927734375,-4.471511363983154,Localizer,36.00302019319818,-86.60808471506041
75,1756875167.23,2,midsize,2960.458251953125,392.0440979003906,3332.192626953125,563.1765747070312,91.8370132446289,-5.705464839935303,Localizer,36.002956256865964,-86.60782204097723
75,1756875167.23,3,midsize,2866.932861328125,643.7847900390625,3277.647216796875,840.6943969726562,93.13031005859375,-5.475376605987549,Localizer,36.002942908861506,-86.60786733477241
75,1756875167.23,6,midsize,1548.1864013671875,1359.7730712890625,1906.9244384765625,1511.57080078125,101.27884674072266,-4.649334907531738,Localizer,36.003011915445796,-86.60807532801029
76,1756875167.26,2,midsize,3053.35791015625,385.8869934082031,3427.62646484375,559.3410034179688,92.93993377685547,-5.797001838684082,Localizer,36.00294757316797,-86.6078122737578
76,1756875167.26,3,midsize,2963.657958984375,637.8646240234375,3374.18359375,835.3172607421875,95.58418273925781,-5.611343860626221,Localizer,36.00293426276256,-86.60785753245817
76,1756875167.26,6,midsize,1647.0570068359375,1354.385986328125,2004.162109375,1505.5859375,99.60662841796875,-4.710953235626221,Localizer,36.0030037670372,-86.6080661874952
77,1756875167.3,2,midsize,3146.47216796875,381.1047668457031,3522.76123046875,557.4051513671875,93.2044677734375,-5.3859148025512695,Localizer,36.002938755742015,-86.60780274504314
77,1756875167.3,3,midsize,3058.270263671875,632.573974609375,3472.774658203125,830.480712890625,95.75567626953125,-5.6035590171813965,Localizer,36.00292556382781,-86.60784780228009
77,1756875167.3,6,midsize,1746.4034423828125,1346.525146484375,2103.440673828125,1498.9095458984375,99.69091033935547,-5.488354206085205,Localizer,36.002995616567866,-86.60805674509747
78,1756875167.33,2,midsize,3243.120849609375,378.2208251953125,3615.31396484375,551.385986328125,94.50660705566406,-4.776037216186523,Detector,36.00292996676758,-86.60779299479807
78,1756875167.33,3,midsize,3145.067138671875,632.3088989257812,3554.074462890625,826.5628051757812,88.44027709960938,-4.037723064422607,Detector,36.002917816979874,-86.60783965838017
78,1756875167.33,6,midsize,1850.208740234375,1338.6123046875,2205.1162109375,1493.43798828125,102.21981048583984,-5.93789005279541,Detector,36.002987108839676,-86.6080470554318
79,1756875167.37,2,midsize,3330.879638671875,372.7240295410156,3705.330810546875,548.3546752929688,90.40911865234375,-4.928570747375488,Localizer,36.00292170482918,-86.60778380996672
79,1756875167.37,3,midsize,3235.66064453125,627.8329467773438,3642.200927734375,822.2959594726562,89.59011840820312,-4.116353988647461,Localizer,36.00290972979214,-86.6078306832395
79,1756875167.37,6,midsize,1948.5863037109375,1330.6263427734375,2304.815185546875,1488.418701171875,100.0868148803711,-6.371531963348389,Localizer,36.00297889894965,-86.6080376946408
80,1756875167.4,2,midsize,3420.9794921875,366.5243835449219,3798.732421875,543.1502075195312,90.76129913330078,-5.401287078857422,Localizer,36.002913263685244,-86.60777411728172
80,1756875167.4,3,midsize,3329.447021484375,620.4332885742188,3736.30029296875,817.6681518554688,92.74424743652344,-5.001155853271484,Localizer,36.00290131900861,-86.60782103004769
80,1756875167.4,6,midsize,2046.0028076171875,1324.1092529296875,2404.44287109375,1484.226806640625,98.76497650146484,-6.3120012283325195,Localizer,36.00297063793031,-86.60802849871689
81,1756875167.43,2,midsize,3497.0751953125,359.8400573730469,3863.96435546875,538.7928466796875,78.4430923461914,-5.440365314483643,Localizer,36.00290683762234,-86.60776646720682
81,1756875167.43,3,midsize,3425.19287109375,613.3836059570312,3831.830810546875,811.5084838867188,94.91194915771484,-5.625133991241455,Localizer,36.00289277751476,-86.60781111693471
